Facility Name,Division,District,Reporting Date,Status,Verified,Suspected cases,Confirmed cases,Suspected deaths,Confirmed deaths,Admitted,Discharged,Serum samples sent
Labaid Hospital,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,1,
Medical College for Women & Hospital,Dhaka,Dhaka,4/9/2026,,,2,10,0,0,1,0,
Millennium Specialized Hospital,Dhaka,Dhaka,4/9/2026,,,1,2,1,0,3,0,
"Mugda Medical College Hospital, Dhaka",Dhaka,Dhaka,4/9/2026,,,10,0,0,0,10,5,
National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
Popular Medical College And Hospital Ltd.,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
"Shaheed Monsur Ali Medical College Hospital, Uttara, Dhaka",Dhaka,Dhaka,4/9/2026,,,0,0,0,0,1,0,
Shaheed Suhrawardy Medical College Hospital,Dhaka,Dhaka,4/9/2026,,,42,14,0,0,40,23,
"Sir Salimullah Medical College, Mitford Hospital Dhaka",Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
Square Hospital Ltd,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
United Medical College Hospital,Dhaka,Dhaka,4/9/2026,,,0,1,0,0,0,0,
Universal medical college hospital,Dhaka,Dhaka,4/9/2026,,,1,2,0,0,1,0,
Uttara Crescent Clinic Pvt. Limited,Dhaka,Dhaka,4/9/2026,,,3,3,0,0,1,1,
Z H Sikder Women's Medical College & Hospital (pvtA) Ltd. Gulshan.,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,
Faridpur Civil Surgeon Office,Dhaka,Faridpur,4/9/2026,,,17,0,0,0,13,21,
Gazipur Civil Surgeon Office,Dhaka,Gazipur,4/9/2026,,,10,1,0,0,10,16,
Gopalganj  Civil Surgeon Office,Dhaka,Gopalganj  ,4/9/2026,,,13,0,0,0,7,11,
Kishoreganj Civil Surgeon Office,Dhaka,Kishoreganj,4/9/2026,,,25,1,0,0,2,4,
Madaripur Civil Surgeon Office,Dhaka,Madaripur,4/9/2026,,,9,2,0,0,6,3,
Manikganj Civil Surgeon Office,Dhaka,Manikganj,4/9/2026,,,8,0,0,0,6,8,
Munshiganj Civil Surgeon Office,Dhaka,Munshiganj,4/9/2026,,,10,0,0,0,3,3,
Narayanganj Civil Surgeon Office,Dhaka,Narayanganj,4/9/2026,,,8,0,0,0,4,0,
Narsingdi Civil Surgeon Office,Dhaka,Narsingdi,4/9/2026,,,16,0,0,0,8,11,
Rajbari Civil Surgeon Office,Dhaka,Rajbari,4/9/2026,,,7,0,0,0,1,2,
Shariatpur Civil Surgeon Office,Dhaka,Shariatpur,4/9/2026,,,9,0,0,0,4,2,
Tangail Civil Surgeon Office,Dhaka,Tangail,4/9/2026,,,12,1,0,0,11,16,
Narail Civil Surgeon Office,Khulna,Narail,4/9/2026,,,7,0,0,0,0,1,
Bagerhat Civil Surgeon Office,Khulna,Bagerhat,4/9/2026,,,2,0,0,0,2,0,
Chuadanga Civil Surgeon Office,Khulna,Chuadanga,4/9/2026,,,2,0,0,0,2,2,
jashore Civil Surgeon Office,Khulna,jashore,4/9/2026,,,10,0,0,0,3,5,
Jhenaidah Civil Surgeon Office,Khulna,Jhenaidah,4/9/2026,,,4,0,0,0,4,3,
Khulna Civil Surgeon Office,Khulna,Khulna,4/9/2026,,,6,0,0,0,6,2,
KUSHTIA Civil Surgeon Office,Khulna,KUSHTIA,4/9/2026,,,25,0,0,0,25,29,
Magura Civil Surgeon Office,Khulna,Magura,4/9/2026,,,10,0,0,0,10,8,
Meherpur Civil Surgeon Office,Khulna,Meherpur,4/9/2026,,,13,0,0,0,2,3,
Satkhira Civil Surgeon Office,Khulna,Satkhira,4/9/2026,,,5,0,0,0,5,7,
Jamalpur Civil Surgeon Office,Mymensingh,Jamalpur,4/9/2026,,,4,0,0,0,4,5,
Mymensingh Civil Surgeon Office,Mymensingh,Mymensingh,4/9/2026,,,5,0,0,0,0,0,
Netrokona Civil Surgeon Office,Mymensingh,Netrokona,4/9/2026,,,13,0,0,0,9,5,
Sherpur Civil Surgeon Office,Mymensingh,Sherpur,4/9/2026,,,7,0,0,0,3,1,
Bogura Civil Surgeon Office,Rajshahi,Bogura,4/9/2026,,,10,0,0,0,8,6,
Chapainawabganj Civil Surgeon Office,Rajshahi,Chapainawabganj,4/9/2026,,,41,0,0,0,41,19,
Joypurhat Civil Surgeon Office,Rajshahi,Joypurhat,4/9/2026,,,6,0,0,0,1,4,
Naogaon Civil Surgeon Office,Rajshahi,Naogaon,4/9/2026,,,11,0,0,0,14,9,
Pabna Civil Surgeon Office,Rajshahi,Pabna,4/9/2026,,,19,0,0,0,19,20,
Rajshahi Civil Surgeon Office,Rajshahi,Rajshahi,4/9/2026,,,0,0,0,0,0,0,
Rajshahi Medical College Hospital,Rajshahi,Rajshahi,4/9/2026,,,132,479,4,0,27,24,
Sirajganj Civil Surgeon Office,Rajshahi,Sirajganj,4/9/2026,,,6,6,0,0,6,7,
Dinajpur Civil Surgeon Office,Rangpur,Dinajpur,4/9/2026,,,18,0,0,0,7,6,
Gaibandha Civil Surgeon Office,Rangpur,Gaibandha,4/9/2026,,,4,0,0,0,2,0,
Kurigram Civil Surgeon Office,Rangpur,Kurigram,4/9/2026,,,0,0,0,0,0,0,
LALMONIRHAT Civil Surgeon Office,Rangpur,LALMONIRHAT,4/9/2026,,,6,0,0,0,2,3,
Nilphamari Civil Surgeon Office,Rangpur,Nilphamari,4/9/2026,,,9,0,0,0,5,4,
Panchagarh Civil Surgeon Office,Rangpur,Panchagarh,4/9/2026,,,4,0,0,0,0,0,
Rangpur Civil Surgeon Office,Rangpur,Rangpur,4/9/2026,,,4,0,0,0,0,0,
Kasir Uddin Hospital & Diagnostic Center,Rangpur,Rangpur,4/9/2026,,,0,0,0,0,0,0,
Thakurgaon Civil Surgeon Office,Rangpur,Thakurgaon,4/9/2026,,,16,0,0,0,1,0,
Habiganj Civil Surgeon Office,Sylhet,Habiganj,4/9/2026,,,5,0,0,0,5,5,
Moulvibazar Civil Surgeon Office,Sylhet,Moulvibazar,4/9/2026,,,12,2,0,0,10,0,
Sunamganj Civil Surgeon Office,Sylhet,Sunamganj,4/9/2026,,,19,0,1,0,14,15,
Sylhet Civil Surgeon Office,Sylhet,Sylhet,4/9/2026,,,14,0,0,0,7,11,
Barguna Civil Surgeon Office,Barisal,Barguna,4/10/2026,,,20,0,0,0,2,6,
Barisal Civil Surgeon Office,Barisal,Barisal,4/10/2026,,,8,1,0,0,4,8,
Bhola Civil Surgeon Office,Barisal,Bhola,4/10/2026,,,0,0,0,0,0,5,
Jhalakathi Civil Surgeon Office,Barisal,Jhalakathi,4/10/2026,,,14,0,0,0,0,4,
Patuakhali Civil Surgeon Office,Barisal,Patuakhali,4/10/2026,,,46,0,0,0,22,26,
Pirojpur Civil Surgeon Office,Barisal,Pirojpur,4/10/2026,,,8,0,0,0,4,3,
Bandarban Civil Surgeon Office,Chattogram,Bandarban,4/10/2026,,,1,0,0,0,0,0,
Brahmanbaria Civil Surgeon Office,Chattogram,Brahmanbaria,4/10/2026,,,8,0,0,0,8,3,
Chandpur Civil Surgeon Office,Chattogram,Chandpur,4/10/2026,,,34,0,0,0,13,7,
Chattogram Civil Surgeon Office,Chattogram,Chattogram,4/10/2026,,,19,0,0,0,16,23,
Cox's Bazar Civil Surgeon Office,Chattogram,Cox's Bazar,4/10/2026,,,38,0,0,0,32,33,
Cumilla Civil Surgeon Office,Chattogram,Cumilla,4/10/2026,,,50,0,0,0,26,214,
Feni Civil Surgeon Office,Chattogram,Feni,4/10/2026,,,12,0,0,0,1,6,
Khagrachhari Civil Surgeon Office,Chattogram,Khagrachhari,4/10/2026,,,0,0,0,0,0,1,
Lakshmipur Civil Surgeon Office,Chattogram,Lakshmipur,4/10/2026,,,7,0,0,0,7,8,
Noakhali Civil Surgeon Office,Chattogram,Noakhali,4/10/2026,,,17,0,0,0,10,10,
Rangamati Civil Surgeon Office,Chattogram,Rangamati,4/10/2026,,,0,0,0,0,0,0,
AMZ Hospital Ltd.,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,
Anwer Khan Modern Medical College Hospital,Dhaka,Dhaka,4/10/2026,,,0,11,0,0,2,0,
Asgar Ali Hospital,Dhaka,Dhaka,4/10/2026,,,1,1,0,0,1,0,
Bangladesh medical University,Dhaka,Dhaka,4/10/2026,,,4,4,0,0,4,3,
Bangladesh Shishu Hospital & Institute,Dhaka,Dhaka,4/10/2026,,,16,0,0,0,16,9,
BIHS General Hospital,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,
BIRDEM Women & Children Hospital,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,
BRB Hospital Ltd,Dhaka,Dhaka,4/10/2026,,,2,2,0,0,2,1,
City Hospital Ltd.,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,
Dhaka Civil Surgeon Office,Dhaka,Dhaka,4/10/2026,,,8,0,0,0,3,4,
DELTA HOSPITAL LIMITED,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,1,
Dhaka Community Medical College Hospital,Dhaka,Dhaka,4/10/2026,,,55,2,0,0,2,2,
DHAKA MEDICAL COLLEGE HOSPITAL,Dhaka,Dhaka,4/10/2026,,,5,5,0,0,5,0,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",Dhaka,Dhaka,4/10/2026,,,126,33,0,0,70,44,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",Dhaka,Dhaka,4/10/2026,,,30,30,0,0,6,6,
Enam Medical College & Hospital,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,2,3,
Hi-Care General Hospital Ltd.,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",Dhaka,Dhaka,4/10/2026,,,30,7,0,0,24,14,
Insaf Barakah Kidney & General Hospital,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,1,
Kurmitola General Hospital,Dhaka,Dhaka,4/10/2026,,,6,0,0,0,3,2,
Kuwait Bangladesh Friendship Govt. Hospital,Dhaka,Dhaka,4/10/2026,,,1,0,0,0,3,0,
Life & Care Hospital Ltd.,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,
Medical College for Women & Hospital,Dhaka,Dhaka,4/10/2026,,,1,0,0,0,0,3,
Millennium Specialized Hospital ltd.,Dhaka,Dhaka,4/10/2026,,,0,1,0,0,1,2,
"Mugda Medical College Hospital, Dhaka",Dhaka,Dhaka,4/10/2026,,,6,0,0,0,6,4,
Shaheed Suhrawardy Medical College Hospital,Dhaka,Dhaka,4/10/2026,,,30,19,0,0,27,30,
"Sir Salimullah medical College Mitford Hospital, dhaka",Dhaka,Dhaka,4/10/2026,,,5,0,0,0,0,0,
Square Hospital LTD,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,
Universal medical college hospital,Dhaka,Dhaka,4/10/2026,,,0,10,0,0,0,0,
Faridpur Civil Surgeon Office,Dhaka,Faridpur,4/10/2026,,,15,0,2,0,17,11,
Gazipur Civil Surgeon Office,Dhaka,Gazipur,4/10/2026,,,9,10,0,0,9,16,
Gopalganj  Civil Surgeon Office,Dhaka,Gopalganj  ,4/10/2026,,,12,2,0,0,7,13,
Kishoreganj Civil Surgeon Office,Dhaka,Kishoreganj,4/10/2026,,,8,1,0,0,5,1,
Madaripur Civil Surgeon Office,Dhaka,Madaripur,4/10/2026,,,15,0,0,0,13,3,
Manikganj Civil Surgeon Office,Dhaka,Manikganj,4/10/2026,,,13,0,0,0,12,6,
Munshiganj Civil Surgeon Office,Dhaka,Munshiganj,4/10/2026,,,7,0,0,0,0,3,
Narayanganj Civil Surgeon Office,Dhaka,Narayanganj,4/10/2026,,,5,0,0,0,4,0,
Narsingdi Civil Surgeon Office,Dhaka,Narsingdi,4/10/2026,,,11,0,0,0,11,11,
Rajbari Civil Surgeon Office,Dhaka,Rajbari,4/10/2026,,,12,0,0,0,1,5,
Shariatpur Civil Surgeon Office,Dhaka,Shariatpur,4/10/2026,,,11,1,0,0,5,10,
Tangail Civil Surgeon Office,Dhaka,Tangail,4/10/2026,,,18,1,0,0,26,11,
Bagerhat Civil Surgeon Office,Khulna,Bagerhat,4/10/2026,,,1,0,0,0,1,0,
Chuadanga Civil Surgeon Office,Khulna,Chuadanga,4/10/2026,,,4,0,0,0,4,3,
jashore Civil Surgeon Office,Khulna,jashore,4/10/2026,,,26,1,0,0,16,22,
Jhenaidah Civil Surgeon Office,Khulna,Jhenaidah,4/10/2026,,,3,8,0,0,3,0,
Khulna Civil Surgeon Office,Khulna,Khulna,4/10/2026,,,6,0,1,0,6,1,
KUSHTIA Civil Surgeon Office,Khulna,KUSHTIA,4/10/2026,,,19,0,1,0,19,12,
Magura Civil Surgeon Office,Khulna,Magura,4/10/2026,,,11,1,0,0,7,9,
Meherpur Civil Surgeon Office,Khulna,Meherpur,4/10/2026,,,10,0,0,0,2,5,
Narail Civil Surgeon Office,Khulna,Narail,4/10/2026,,,8,0,0,0,2,6,
Satkhira Civil Surgeon Office,Khulna,Satkhira,4/10/2026,,,2,0,0,0,2,9,
Jamalpur Civil Surgeon Office,Mymensingh,Jamalpur,4/10/2026,,,2,0,0,0,2,10,
Mymensingh Civil Surgeon Office,Mymensingh,Mymensingh,4/10/2026,,,8,0,0,0,0,0,
Netrokona Civil Surgeon Office,Mymensingh,Netrokona,4/10/2026,,,13,0,0,0,8,8,
Sherpur Civil Surgeon Office,Mymensingh,Sherpur,4/10/2026,,,4,0,0,0,1,1,
Bogura Civil Surgeon Office,Rajshahi,Bogura,4/10/2026,,,4,0,0,0,2,2,
chapainawabganj Civil Surgeon Office,Rajshahi,chapainawabganj,4/10/2026,,,14,0,0,0,14,27,
Joypurhat Civil Surgeon Office,Rajshahi,Joypurhat,4/10/2026,,,12,0,0,0,7,5,
Naogaon Civil Surgeon Office,Rajshahi,Naogaon,4/10/2026,,,20,0,0,0,6,11,
Natore Civil Surgeon Office,Rajshahi,Natore,4/10/2026,,,9,0,0,0,7,9,
Pabna Civil Surgeon Office,Rajshahi,Pabna,4/10/2026,,,21,0,0,0,21,19,
Rajshahi Civil Surgeon Office,Rajshahi,Rajshahi,4/10/2026,,,0,2,0,0,0,0,
Rajshahi Medical College Hospital,Rajshahi,Rajshahi,4/10/2026,,,136,0,0,0,29,25,
Sirajganj Civil Surgeon Office,Rajshahi,Sirajganj,4/10/2026,,,14,14,0,0,14,14,
Gaibandha Civil Surgeon Office,Rangpur,Gaibandha,4/10/2026,,,2,0,0,0,2,0,
Kurigram Civil Surgeon Office,Rangpur,Kurigram,4/10/2026,,,4,0,0,0,3,2,
Lalmonirhat Civil Surgeon Office,Rangpur,Lalmonirhat,4/10/2026,,,3,0,0,0,3,3,
Nilphamari Civil Surgeon Office,Rangpur,Nilphamari,4/10/2026,,,3,0,0,0,3,2,
Panchagarh Civil Surgeon Office,Rangpur,Panchagarh,4/10/2026,,,4,0,0,0,0,0,
Rangpur Civil Surgeon Office,Rangpur,Rangpur,4/10/2026,,,6,0,0,0,0,0,
Thakurgaon Civil Surgeon Office,Rangpur,Thakurgaon,4/10/2026,,,4,0,0,0,1,2,
Habiganj Civil Surgeon Office,Sylhet,Habiganj,4/10/2026,,,13,1,0,0,8,7,
Moulvibazar Civil Surgeon Office,Sylhet,Moulvibazar,4/10/2026,,,12,0,0,0,8,2,
Sunamganj Civil Surgeon Office,Sylhet,Sunamganj,4/10/2026,,,19,0,0,0,16,8,
Sylhet Civil Surgeon Office,Sylhet,Sylhet,4/10/2026,,,16,0,0,0,10,8,
Barguna Civil Surgeon Office,Barisal,Barguna,4/11/2026,,,20,0,0,0,3,1,
Barisal Civil Surgeon Office,Barisal,Barisal,4/11/2026,,,2,0,0,0,3,4,
Bhola Civil Surgeon Office,Barisal,Bhola,4/11/2026,,,5,0,0,0,5,5,
Jhalakathi Civil Surgeon Office,Barisal,Jhalakathi,4/11/2026,,,0,0,0,0,0,0,
Patuakhali Civil Surgeon Office,Barisal,Patuakhali,4/11/2026,,,11,0,0,0,11,15,
Pirojpur Civil Surgeon Office,Barisal,Pirojpur,4/11/2026,,,0,0,0,0,0,3,
Bandarban Civil Surgeon Office,Chattogram,Bandarban,4/11/2026,,,0,0,0,0,0,0,
Brahmanbaria Civil Surgeon Office,Chattogram,Brahmanbaria,4/11/2026,,,12,0,0,0,12,0,
Chandpur Civil Surgeon Office,Chattogram,Chandpur,4/11/2026,,,0,0,0,0,0,0,
Chattogram Civil Surgeon Office,Chattogram,Chattogram,4/11/2026,,,15,8,0,0,15,21,
Cox's Bazar Civil Surgeon Office,Chattogram,Cox's Bazar,4/11/2026,,,34,0,0,0,34,32,
Cumilla Civil Surgeon Office,Chattogram,Cumilla,4/11/2026,,,23,0,0,0,23,12,
Feni Civil Surgeon Office,Chattogram,Feni,4/11/2026,,,1,0,0,0,4,1,
Khagrachhari Civil Surgeon Office,Chattogram,Khagrachhari,4/11/2026,,,0,0,0,0,0,0,
Lakshmipur Civil Surgeon Office,Chattogram,Lakshmipur,4/11/2026,,,9,0,0,0,9,1,
Noakhali Civil Surgeon Office,Chattogram,Noakhali,4/11/2026,,,2,0,0,0,2,1,
Rangamati Civil Surgeon Office,Chattogram,Rangamati,4/11/2026,,,4,0,0,0,0,0,
"Ad-din Medical College Hospital, Moghbazar, Dhaka-1217",Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,1,
Aichi Hospital Ltd.,Dhaka,Dhaka,4/11/2026,,,1,0,0,0,0,0,
AMZ Hospital Ltd.,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
Anwer Khan Modern Medical College Hospital,Dhaka,Dhaka,4/11/2026,,,0,9,0,1,0,1,
Asgar Ali Hospital,Dhaka,Dhaka,4/11/2026,,,1,1,0,0,1,0,
Bangladesh medical University,Dhaka,Dhaka,4/11/2026,,,4,4,0,0,4,0,
Bangladesh Specialized Hospital PLC,Dhaka,Dhaka,4/11/2026,,,3,1,0,0,1,0,
Better Life Hospital Ltd,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
BIHS General Hospital,Dhaka,Dhaka,4/11/2026,,,2,0,0,0,1,0,
BIRDEM Women & Children Hospital,Dhaka,Dhaka,4/11/2026,,,1,0,0,0,1,1,
BRB Hospital Ltd,Dhaka,Dhaka,4/11/2026,,,3,0,0,0,0,1,
CITY HOSPITAL LTD.,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
Dhaka Civil Surgeon Office,Dhaka,Dhaka,4/11/2026,,,8,0,0,0,8,3,
Continental Hospital,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,2,
Crescent Gastroliver & General Hospital Ltd.,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
DELTA HOSPITAL LIMITED,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,1,
Dhaka Central International Medical College & Hospital,Dhaka,Dhaka,4/11/2026,,,1,1,0,0,1,1,
Dhaka Community Medical College Hospital,Dhaka,Dhaka,4/11/2026,,,57,2,0,0,2,2,
Dhaka medical College hospital,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",Dhaka,Dhaka,4/11/2026,,,130,0,0,0,83,81,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",Dhaka,Dhaka,4/11/2026,,,26,26,0,0,4,4,
Dr. Sirajul Islam Medical College & Hospital Ltd.,Dhaka,Dhaka,4/11/2026,,,0,8,0,0,1,2,
Enam Medical College & Hospital,Dhaka,Dhaka,4/11/2026,,,0,7,0,0,7,1,
"Evercare Hospital, Dhaka",Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,1,
Hi-Care General Hospital Ltd.,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
Holy Family Red Cerscent Medical College Hospital0,Dhaka,Dhaka,4/11/2026,,,0,2,0,0,2,1,
Ibn Sina Hospital,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
Ibn Sina Medical College Hospital,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",Dhaka,Dhaka,4/11/2026,,,34,0,0,0,18,1,
Insaf Barakah Kidney & General Hospital,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,1,
Khidmah Hospital (Pvt.) Ltd,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
Kurmitola General Hospital,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
Kuwait Bangladesh Friendship Govt. Hospital,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
Medical College for Women & Hospital,Dhaka,Dhaka,4/11/2026,,,0,6,0,0,0,0,
Millennium specialized Hospital Ltd.,Dhaka,Dhaka,4/11/2026,,,0,1,0,0,0,3,
"Mugda Medical College Hospital, Dhaka",Dhaka,Dhaka,4/11/2026,,,3,0,0,0,3,0,
National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
"Shaheed Monsur Ali Medcial College Hospital, Uttara, Dhaka-1230.",Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
Shaheed Suhrawardy Medical College Hospital,Dhaka,Dhaka,4/11/2026,,,25,0,0,0,20,10,
"Sir Salimullah Medical College, Mitford Hospital Dhaka",Dhaka,Dhaka,4/11/2026,,,5,0,0,0,0,0,
Square Hospital LTD,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
United Medical College Hospital,Dhaka,Dhaka,4/11/2026,,,0,1,0,0,0,0,
Universal medical college hospital,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,2,
UTTARA CRESCENT CLINIC PVT. LTD.,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
Z H Sikder Women's Medical College & Hospital (pvt) Ltd. Gulshan.,Dhaka,Dhaka,4/11/2026,,,0,0,0,0,0,0,
Faridpur Civil Surgeon Office,Dhaka,Faridpur,4/11/2026,,,10,0,0,0,10,9,
Gazipur Civil Surgeon Office,Dhaka,Gazipur,4/11/2026,,,14,0,0,0,14,1,
Gopalganj  Civil Surgeon Office,Dhaka,Gopalganj  ,4/11/2026,,,18,0,0,0,9,4,
Kishoreganj Civil Surgeon Office,Dhaka,Kishoreganj,4/11/2026,,,15,0,0,0,18,22,
Madaripur Civil Surgeon Office,Dhaka,Madaripur,4/11/2026,,,7,0,0,0,7,6,
Manikganj Civil Surgeon Office,Dhaka,Manikganj,4/11/2026,,,14,0,0,0,14,8,
Munshiganj Civil Surgeon Office,Dhaka,Munshiganj,4/11/2026,,,6,0,0,0,6,5,
narayanganj Civil Surgeon Office,Dhaka,narayanganj,4/11/2026,,,0,0,0,0,0,0,
Narsingdi Civil Surgeon Office,Dhaka,Narsingdi,4/11/2026,,,6,0,0,0,6,5,
Rajbari Civil Surgeon Office,Dhaka,Rajbari,4/11/2026,,,5,0,0,0,3,3,
Shariatpur Civil Surgeon Office,Dhaka,Shariatpur,4/11/2026,,,9,0,0,0,9,0,
Tangail Civil Surgeon Office,Dhaka,Tangail,4/11/2026,,,37,0,0,0,15,13,
Bagerhat Civil Surgeon Office,Khulna,Bagerhat,4/11/2026,,,0,0,0,0,0,0,
Chuadanga Civil Surgeon Office,Khulna,Chuadanga,4/11/2026,,,2,0,0,0,2,6,
jashore Civil Surgeon Office,Khulna,jashore,4/11/2026,,,2,0,0,0,0,4,
Jhenaidah Civil Surgeon Office,Khulna,Jhenaidah,4/11/2026,,,0,0,0,0,0,0,
Khulna Civil Surgeon Office,Khulna,Khulna,4/11/2026,,,9,0,0,0,9,8,
KUSHTIA Civil Surgeon Office,Khulna,KUSHTIA,4/11/2026,,,26,0,0,0,26,25,
Magura Civil Surgeon Office,Khulna,Magura,4/11/2026,,,5,0,0,0,5,10,
Meherpur Civil Surgeon Office,Khulna,Meherpur,4/11/2026,,,3,0,0,0,3,3,
Narail Civil Surgeon Office,Khulna,Narail,4/11/2026,,,3,0,0,0,3,0,
Satkhira Civil Surgeon Office,Khulna,Satkhira,4/11/2026,,,0,0,0,0,0,1,
Jamalpur Civil Surgeon Office,Mymensingh,Jamalpur,4/11/2026,,,0,0,0,0,0,0,
Mymensingh Civil Surgeon Office,Mymensingh,Mymensingh,4/11/2026,,,0,0,0,0,0,0,
Netrokona Civil Surgeon Office,Mymensingh,Netrokona,4/11/2026,,,4,0,0,0,4,0,
Sherpur Civil Surgeon Office,Mymensingh,Sherpur,4/11/2026,,,1,0,0,0,0,0,
Bogura Civil Surgeon Office,Rajshahi,Bogura,4/11/2026,,,0,0,0,0,6,1,
Chapainawabganj Civil Surgeon Office,Rajshahi,Chapainawabganj,4/11/2026,,,29,0,0,0,29,16,
Joypurhat Civil Surgeon Office,Rajshahi,Joypurhat,4/11/2026,,,2,0,0,0,2,0,
Naogaon Civil Surgeon Office,Rajshahi,Naogaon,4/11/2026,,,4,0,0,0,4,0,
Natore Civil Surgeon Office,Rajshahi,Natore,4/11/2026,,,3,0,0,0,1,3,
Pabna Civil Surgeon Office,Rajshahi,Pabna,4/11/2026,,,18,0,0,0,18,17,
Rajshahi Civil Surgeon Office,Rajshahi,Rajshahi,4/11/2026,,,0,0,0,0,0,0,
Rajshahi Medical College Hospital,Rajshahi,Rajshahi,4/11/2026,,,154,0,0,0,27,9,
Sirajganj Civil Surgeon Office,Rajshahi,Sirajganj,4/11/2026,,,2,2,0,0,2,3,
Dinajpir Civil Surgeon Office,Rangpur,Dinajpir,4/11/2026,,,0,0,0,0,0,0,
Dinajpur Civil Surgeon Office,Rangpur,Dinajpur,4/11/2026,,,10,0,0,0,0,0,
Gaibandha Civil Surgeon Office,Rangpur,Gaibandha,4/11/2026,,,3,0,0,0,1,0,
Kurigram Civil Surgeon Office,Rangpur,Kurigram,4/11/2026,,,0,0,0,0,0,2,
lalmonirhat Civil Surgeon Office,Rangpur,lalmonirhat,4/11/2026,,,1,0,0,0,1,0,
Nilphamari Civil Surgeon Office,Rangpur,Nilphamari,4/11/2026,,,2,0,0,0,2,2,
Panchagarh Civil Surgeon Office,Rangpur,Panchagarh,4/11/2026,,,0,0,0,0,0,0,
Rangpur Civil Surgeon Office,Rangpur,Rangpur,4/11/2026,,,0,0,0,0,0,0,
Thakurgaon Civil Surgeon Office,Rangpur,Thakurgaon,4/11/2026,,,2,0,0,0,0,0,
Habiganj Civil Surgeon Office,Sylhet,Habiganj,4/11/2026,,,2,0,0,0,2,5,
Moulvibazar Civil Surgeon Office,Sylhet,Moulvibazar,4/11/2026,,,5,1,0,0,5,0,
Sunamganj Civil Surgeon Office,Sylhet,Sunamganj,4/11/2026,,,5,0,0,0,5,1,
Sylhet Civil Surgeon Office,Sylhet,Sylhet,4/11/2026,,,8,0,1,0,7,5,
Barguna Civil Surgeon Office,Barisal,Barguna,4/12/2026,,,10,0,0,0,8,13,
Barisal Civil Surgeon Office,Barisal,Barisal,4/12/2026,,,8,0,0,0,3,4,
Bhola Civil Surgeon Office,Barisal,Bhola,4/12/2026,,,11,0,0,0,11,2,
Jhalakathi Civil Surgeon Office,Barisal,Jhalakathi,4/12/2026,,,8,0,0,0,1,5,
Patuakhali Civil Surgeon Office,Barisal,Patuakhali,4/12/2026,,,23,0,0,0,23,5,
Pirojpur Civil Surgeon Office,Barisal,Pirojpur,4/12/2026,,,16,4,0,0,9,8,
Bandarban Civil Surgeon Office,Chattogram,Bandarban,4/12/2026,,,4,0,0,0,0,0,
