Facility Name,Email,Division,District,Reporting Date,Status,Verified,Suspected cases,Confirmed cases,Suspected deaths,Confirmed deaths,Admitted,Discharged,Serum samples sent,,,,,,,,,,
MARKS Medical College Hospital,marksgroupit@gmail.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Medical College for Women & Hospital,nurarubel@outlook.com,Dhaka,Dhaka,4/8/2026,,,0,6,0,0,0,1,,,,,,,,,,,
Meherpur Civil Surgeon Office,meherpur@cs.dghs.gov.bd,Khulna,Meherpur,4/8/2026,,,7,0,0,0,3,2,,,,,,,,,,,
Millennium Specialized Hospital Ltd.,infomshl99@gmail.com,Dhaka,Dhaka,4/8/2026,,,2,0,1,0,0,0,,,,,,,,,,,
Moulvibazar Civil Surgeon Office,moulvibazar@cs.dghs.gov.bd,Sylhet,Moulvibazar,4/8/2026,,,10,0,0,0,10,6,,,,,,,,,,,
"Mugda Medical College Hospital, Dhaka",first@hospi.dghs.gov.bd,Dhaka,Dhaka,4/8/2026,,,11,0,0,0,11,12,,,,,,,,,,,
Munshiganj Civil Surgeon Office,munshiganj@cs.dghs.gov.bd,Dhaka,Munshiganj,4/8/2026,,,7,2,0,0,3,3,,,,,,,,,,,
Mymensingh Civil Surgeon Office,mymensingh@cs.dghs.gov.bd,Mymensingh,Mymensingh,4/8/2026,,,4,0,0,0,0,0,,,,,,,,,,,
Naogaon Civil Surgeon Office,naogaon@cs.dghs.gov.bd,Rajshahi,Naogaon,4/8/2026,,,12,2,0,0,7,7,,,,,,,,,,,
Narail Civil Surgeon Office,narail@cs.dghs.gov.bd,Khulna,Narail,4/8/2026,,,8,1,0,0,4,4,,,,,,,,,,,
Narayanganj Civil Surgeon Office,narayanganj@cs.dghs.gov.bd,Dhaka,Narayanganj,4/8/2026,,,6,0,0,0,0,0,,,,,,,,,,,
Narsingdi Civil Surgeon Office,narsingdi@cs.dghs.gov.bd,Dhaka,Narsingdi,4/8/2026,,,13,0,0,0,13,8,,,,,,,,,,,
Natore Civil Surgeon Office,natore@cs.dghs.gov.bd,Rajshahi,Natore,4/8/2026,,,6,0,0,0,6,7,,,,,,,,,,,
Netrokona Civil Surgeon Office,netrokona@cs.dghs.gov.bd,Mymensingh,Netrokona,4/8/2026,,,16,3,0,0,7,6,,,,,,,,,,,
Nilphamari Civil Surgeon Office,nilphamari@cs.dghs.gov.bd,Rangpur,Nilphamari,4/8/2026,,,6,3,0,0,2,4,,,,,,,,,,,
Noakhali Civil Surgeon Office,noakhali@cs.dghs.gov.bd,Chattogram,Noakhali,4/8/2026,,,17,0,0,0,17,10,,,,,,,,,,,
Pabna Civil Surgeon Office,pabna@cs.dghs.gov.bd,Rajshahi,Pabna,4/8/2026,,,18,0,0,0,18,13,,,,,,,,,,,
Panchagarh Civil Surgeon Office,panchagarh@cs.dghs.gov.bd,Rangpur,Panchagarh,4/8/2026,,,2,0,0,0,0,0,,,,,,,,,,,
Patuakhali Civil Surgeon Office,patuakhali@cs.dghs.gov.bd,Barisal,Patuakhali,4/8/2026,,,16,0,0,0,12,16,,,,,,,,,,,
Pirojpur Civil Surgeon Office,pirojpur@cs.dghs.gov.bd,Barisal,Pirojpur,4/8/2026,,,17,0,0,0,2,1,,,,,,,,,,,
Popular Medical College And Hospital Ltd.,pmchcoordinator@yahoo.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Rajbari Civil Surgeon Office,rajbari@cs.dghs.gov.bd,Dhaka,Rajbari,4/8/2026,,,14,1,0,0,4,2,,,,,,,,,,,
Rajshahi Civil Surgeon Office,rajshahi@cs.dghs.gov.bd,Rajshahi,Rajshahi,4/8/2026,,,7,0,0,0,0,0,,,,,,,,,,,
Rajshahi Medical College Hospital,rajshahimch@hospi.dghs.gov.bd,Rajshahi,Rajshahi,4/8/2026,,,133,0,3,0,23,10,,,,,,,,,,,
Rangamati Civil Surgeon Office,rangamati@cs.dghs.gov.bd,Chattogram,Rangamati,4/8/2026,,,1,0,0,0,0,0,,,,,,,,,,,
Rangpur Civil Surgeon Office,rangpur@cs.dghs.gov.bd,Rangpur,Rangpur,4/8/2026,,,5,1,0,0,0,0,,,,,,,,,,,
Satkhira Civil Surgeon Office,satkhira@cs.dghs.gov.bd,Khulna,Satkhira,4/8/2026,,,5,0,0,0,5,10,,,,,,,,,,,
Shaheed Suhrawardy Medical College Hospital,ssh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/8/2026,,,32,10,1,0,24,24,,,,,,,,,,,
Shariatpur Civil Surgeon Office,shariatpur@cs.dghs.gov.bd,Dhaka,Shariatpur,4/8/2026,,,15,0,0,0,6,2,,,,,,,,,,,
Sherpur Civil Surgeon Office,sherpur@cs.dghs.gov.bd,Mymensingh,Sherpur,4/8/2026,,,5,0,0,0,3,0,,,,,,,,,,,
"Sir Salimullah Medical College, mitford hospital Dahaka",mitford@hospi.dghs.gov.bd,Dhaka,Dhaka,4/8/2026,,,1,0,0,0,0,0,,,,,,,,,,,
Sirajganj Civil Surgeon Office,sirajganj@cs.dghs.gov.bd,Rajshahi,Sirajganj,4/8/2026,,,24,14,0,0,14,8,,,,,,,,,,,
Square Hospital LTD,muktadir@squarehospital.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Sunamganj Civil Surgeon Office,sunamganj@cs.dghs.gov.bd,Sylhet,Sunamganj,4/8/2026,,,15,0,0,0,10,9,,,,,,,,,,,
Sylhet Civil Surgeon Office,sylhet@cs.dghs.gov.bd,Sylhet,Sylhet,4/8/2026,,,17,0,0,0,9,6,,,,,,,,,,,
Tangail Civil Surgeon Office,tangail@cs.dghs.gov.bd,Dhaka,Tangail,4/8/2026,,,1,0,1,0,21,9,,,,,,,,,,,
Thakurgaon Civil Surgeon Office,thakurgaon@cs.dghs.gov.bd,Rangpur,Thakurgaon,4/8/2026,,,15,0,0,0,3,3,,,,,,,,,,,
United Medical College Hospital,unknown@umch.com,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Universal medical college hospital,umcrc2022@gmail.com,Dhaka,Dhaka,4/8/2026,,,2,2,0,0,0,2,,,,,,,,,,,
Uttara Crescent Hospital,shuvo.uch@gmail.com,Dhaka,Dhaka,4/8/2026,,,1,1,0,0,1,0,,,,,,,,,,,
"Zainul Haque Sikder Women's Medical College & Hospital (Pvt.) Ltd. , Gulshan Branch",info@sikderhospital.net,Dhaka,Dhaka,4/8/2026,,,0,0,0,0,0,0,,,,,,,,,,,
"Ad-din Medical College Hospital, Moghbazar, Dhaka-1217",mdshihab886@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,2,,,,,,,,,,,
Aichi Hospital Ltd.,sabik.aichi@gmail.com,Dhaka,Dhaka,4/9/2026,,,1,1,0,0,1,1,,,,,,,,,,,
AMZ Hospital Ltd.,amzhospitalltd.mis10699@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Anwer Khan Modern Medical College Hospital,akmmchcovid19@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,9,0,0,5,1,,,,,,,,,,,
Asgar Ali Hospital,zahidulhaq@asgaralihospital.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Bagerhat Civil Surgeon Office,bagerhat@cs.dghs.gov.bd,Khulna,Bagerhat,4/9/2026,,,2,0,0,0,2,0,,,,,,,,,,,
Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,Chattogram,Bandarban,4/9/2026,,,4,0,0,0,4,1,,,,,,,,,,,
Bangladesh medical University,bmu@example.com,Dhaka,Dhaka,4/9/2026,,,8,8,0,0,8,2,,,,,,,,,,,
Bangladesh Shishu Hospital & Institute,epiddsh@gmail.com,Dhaka,Dhaka,4/9/2026,,,12,0,0,0,12,12,,,,,,,,,,,
Bangladesh Specialized Hospital PLC,bshl.dhaka@gmail.com,Dhaka,Dhaka,4/9/2026,,,2,2,0,0,2,0,,,,,,,,,,,
Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,Barisal,Barguna,4/9/2026,,,24,0,0,0,6,7,,,,,,,,,,,
Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,Barisal,Barisal,4/9/2026,,,4,0,0,0,0,3,,,,,,,,,,,
Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,Barisal,Bhola,4/9/2026,,,9,0,0,0,9,7,,,,,,,,,,,
BIHS General Hospital,mhasemanto@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
BIRDEM Women & Children Hospital,birdem-2@dab-bd.org,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Bogura Civil Surgeon Office,bogura@cs.dghs.gov.bd,Rajshahi,Bogura,4/9/2026,,,10,0,0,0,8,6,,,,,,,,,,,
Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,Chattogram,Brahmanbaria,4/9/2026,,,6,0,0,0,6,5,,,,,,,,,,,
Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,Chattogram,Chandpur,4/9/2026,,,25,1,0,0,14,7,,,,,,,,,,,
Chapainawabganj Civil Surgeon Office,chapainawabganj@cs.dghs.gov.bd,Rajshahi,Chapainawabganj,4/9/2026,,,41,0,0,0,41,19,,,,,,,,,,,
Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,Chattogram,Chattogram,4/9/2026,,,20,4,0,0,21,13,,,,,,,,,,,
Chuadanga Civil Surgeon Office,chuadanga@cs.dghs.gov.bd,Khulna,Chuadanga,4/9/2026,,,2,0,0,0,2,2,,,,,,,,,,,
City Hospital Ltd.,cityhosp.bd@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Continental Hospital,continental@example.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,Chattogram,Cox's Bazar,4/9/2026,,,39,0,0,0,38,24,,,,,,,,,,,
Crescent Gastroliver & General Hospital Ltd.,crescentgastroliver2010@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,Chattogram,Cumilla,4/9/2026,,,32,0,0,0,14,15,,,,,,,,,,,
DELTA HOSPITAL LIMITED,amiruldelta@gmail.com,Dhaka,Dhaka,4/9/2026,,,3,0,0,0,3,0,,,,,,,,,,,
Dhaka Central International Medical College & Hospital,admin@dcimch.com,Dhaka,Dhaka,4/9/2026,,,1,1,0,0,0,1,,,,,,,,,,,
Dhaka Civil Surgeon Office,dhaka@cs.dghs.gov.bd,Dhaka,Dhaka,4/9/2026,,,16,0,0,0,9,5,,,,,,,,,,,
Dhaka Community Medical College Hospital,ashrafulislamirfan@gmail.com,Dhaka,Dhaka,4/9/2026,,,52,2,0,0,0,4,,,,,,,,,,,
Dhaka medical College hospital,dmch@hospi.dghs.gov.bd,Dhaka,Dhaka,4/9/2026,,,3,3,0,0,3,0,,,,,,,,,,,
Dinajpur Civil Surgeon Office,dinajpur@cs.dghs.gov.bd,Rangpur,Dinajpur,4/9/2026,,,18,0,0,0,7,6,,,,,,,,,,,
"DNCC Dedicated Covid-19 Hospital, Mohakhali, Dhaka",dncc.covid@hospi.dghs.gov.bd,Dhaka,Dhaka,4/9/2026,,,135,29,0,0,60,55,,,,,,,,,,,
"Dr. M R Khan shishu Hospital & Institute of Child Health, Mirpur-2, Dhaka",mrkhan.shishu@gmail.com,Dhaka,Dhaka,4/9/2026,,,38,38,0,0,6,5,,,,,,,,,,,
Dr. Sirajul Islam Medical College & Hospital Ltd.,simch.bd@gmail.com,Dhaka,Dhaka,4/9/2026,,,2,11,0,0,0,2,,,,,,,,,,,
Enam Medical College & Hospital,info@emch.com.bd,Dhaka,Dhaka,4/9/2026,,,0,1,0,0,1,5,,,,,,,,,,,
Evercare Hospital Dhaka,mrdept@evercarebd.com,Dhaka,Dhaka,4/9/2026,,,0,1,0,0,1,1,,,,,,,,,,,
Faridpur Civil Surgeon Office,faridpur@cs.dghs.gov.bd,Dhaka,Faridpur,4/9/2026,,,17,0,0,0,13,21,,,,,,,,,,,
Feni Civil Surgeon Office,feni@cs.dghs.gov.bd,Chattogram,Feni,4/9/2026,,,10,0,0,0,8,9,,,,,,,,,,,
Gaibandha Civil Surgeon Office,gaibandha@cs.dghs.gov.bd,Rangpur,Gaibandha,4/9/2026,,,4,0,0,0,2,0,,,,,,,,,,,
Gazipur Civil Surgeon Office,gazipur@cs.dghs.gov.bd,Dhaka,Gazipur,4/9/2026,,,10,1,0,0,10,16,,,,,,,,,,,
Gopalganj  Civil Surgeon Office,gopalganj@cs.dghs.gov.bd,Dhaka,Gopalganj  ,4/9/2026,,,13,0,0,0,7,11,,,,,,,,,,,
Habiganj Civil Surgeon Office,habiganj@cs.dghs.gov.bd,Sylhet,Habiganj,4/9/2026,,,5,0,0,0,5,5,,,,,,,,,,,
Hi-Care General Hospital Ltd.,hicare13@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Holy Family Red Crescent Medical College Hospital,hfrcmchdhaka@yahoo.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,3,3,,,,,,,,,,,
Ibn Sina Hospital,ibnsinahospitaldhanmondidengue@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Ibn Sina Medical College Hospital,ismchoffice@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
"Infectious Diseases Hospital, Mohakhali, Dhaka-1212",kidh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/9/2026,,,21,5,0,1,13,8,,,,,,,,,,,
Insaf Barakah Kidney & General Hospital,insafbarakah@gmail.com,Dhaka,Dhaka,4/9/2026,,,1,1,0,0,0,0,,,,,,,,,,,
Islami Bank Hospital Motijheel,ibhdhaka@gmail.com,Dhaka,Dhaka,4/9/2026,,,1,1,0,0,1,2,,,,,,,,,,,
Jamalpur Civil Surgeon Office,jamalpur@cs.dghs.gov.bd,Mymensingh,Jamalpur,4/9/2026,,,4,0,0,0,4,5,,,,,,,,,,,
Japan Bangladesh Friendship hospital Ltd.,jbfh24@yahoo.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
jashore Civil Surgeon Office,jashore@cs.dghs.gov.bd,Khulna,jashore,4/9/2026,,,10,0,0,0,3,5,,,,,,,,,,,
Jhalakathi Civil Surgeon Office,jhalakathi@cs.dghs.gov.bd,Barisal,Jhalakathi,4/9/2026,,,4,0,0,0,4,2,,,,,,,,,,,
Jhenaidah Civil Surgeon Office,jhenaidah@cs.dghs.gov.bd,Khulna,Jhenaidah,4/9/2026,,,4,0,0,0,4,3,,,,,,,,,,,
Joypurhat Civil Surgeon Office,joypurhat@cs.dghs.gov.bd,Rajshahi,Joypurhat,4/9/2026,,,6,0,0,0,1,4,,,,,,,,,,,
Kasir Uddin Hospital & Diagnostic Center,zunaed.kmmch@gmail.com,Rangpur,Rangpur,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Khagrachhari Civil Surgeon Office,khagrachhari@cs.dghs.gov.bd,Chattogram,Khagrachhari,4/9/2026,,,1,0,0,0,1,1,,,,,,,,,,,
Khidmah Hospital (Pvt.) Ltd.,info@khidmahhospital.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Khulna Civil Surgeon Office,khulna@cs.dghs.gov.bd,Khulna,Khulna,4/9/2026,,,6,0,0,0,6,2,,,,,,,,,,,
Kishoreganj Civil Surgeon Office,kishoreganj@cs.dghs.gov.bd,Dhaka,Kishoreganj,4/9/2026,,,25,1,0,0,2,4,,,,,,,,,,,
Kurigram Civil Surgeon Office,kurigram@cs.dghs.gov.bd,Rangpur,Kurigram,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
kurmitola General Hospital,curmitolahospital@hospi.dghs.gov.bd,Dhaka,Dhaka,4/9/2026,,,5,0,0,0,1,0,,,,,,,,,,,
KUSHTIA Civil Surgeon Office,kushtia@cs.dghs.gov.bd,Khulna,KUSHTIA,4/9/2026,,,25,0,0,0,25,29,,,,,,,,,,,
Kuwait Bangladesh Friendship Govt. Hospital,kbfgh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Labaid Hospital,shankarpanday144@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Lakshmipur Civil Surgeon Office,lakshmipur@cs.dghs.gov.bd,Chattogram,Lakshmipur,4/9/2026,,,17,0,0,0,15,7,,,,,,,,,,,
LALMONIRHAT Civil Surgeon Office,lalmonirhat@cs.dghs.gov.bd,Rangpur,LALMONIRHAT,4/9/2026,,,6,0,0,0,2,3,,,,,,,,,,,
Madaripur Civil Surgeon Office,madaripur@cs.dghs.gov.bd,Dhaka,Madaripur,4/9/2026,,,9,2,0,0,6,3,,,,,,,,,,,
Magura Civil Surgeon Office,magura@cs.dghs.gov.bd,Khulna,Magura,4/9/2026,,,10,0,0,0,10,8,,,,,,,,,,,
Manikganj Civil Surgeon Office,manikganj@cs.dghs.gov.bd,Dhaka,Manikganj,4/9/2026,,,8,0,0,0,6,8,,,,,,,,,,,
Medical College for Women & Hospital,nurarubel@outlook.com,Dhaka,Dhaka,4/9/2026,,,2,10,0,0,1,0,,,,,,,,,,,
Meherpur Civil Surgeon Office,meherpur@cs.dghs.gov.bd,Khulna,Meherpur,4/9/2026,,,13,0,0,0,2,3,,,,,,,,,,,
Millennium Specialized Hospital,infomshl99@gmail.com,Dhaka,Dhaka,4/9/2026,,,1,2,1,0,3,0,,,,,,,,,,,
Moulvibazar Civil Surgeon Office,moulvibazar@cs.dghs.gov.bd,Sylhet,Moulvibazar,4/9/2026,,,12,2,0,0,10,0,,,,,,,,,,,
"Mugda Medical College Hospital, Dhaka",first@hospi.dghs.gov.bd,Dhaka,Dhaka,4/9/2026,,,10,0,0,0,10,5,,,,,,,,,,,
Munshiganj Civil Surgeon Office,munshiganj@cs.dghs.gov.bd,Dhaka,Munshiganj,4/9/2026,,,10,0,0,0,3,3,,,,,,,,,,,
Mymensingh Civil Surgeon Office,mymensingh@cs.dghs.gov.bd,Mymensingh,Mymensingh,4/9/2026,,,5,0,0,0,0,0,,,,,,,,,,,
Naogaon Civil Surgeon Office,naogaon@cs.dghs.gov.bd,Rajshahi,Naogaon,4/9/2026,,,11,0,0,0,14,9,,,,,,,,,,,
Narail Civil Surgeon Office,narail@cs.dghs.gov.bd,Khulna,Narail,4/9/2026,,,7,0,0,0,0,1,,,,,,,,,,,
Narayanganj Civil Surgeon Office,narayanganj@cs.dghs.gov.bd,Dhaka,Narayanganj,4/9/2026,,,8,0,0,0,4,0,,,,,,,,,,,
Narsingdi Civil Surgeon Office,narsingdi@cs.dghs.gov.bd,Dhaka,Narsingdi,4/9/2026,,,16,0,0,0,8,11,,,,,,,,,,,
National Institute of Traumatology and Orthopaedic Rehabilitation (NITOR),nitor@hospi.dghs.gov.bd,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Netrokona Civil Surgeon Office,netrokona@cs.dghs.gov.bd,Mymensingh,Netrokona,4/9/2026,,,13,0,0,0,9,5,,,,,,,,,,,
Nilphamari Civil Surgeon Office,nilphamari@cs.dghs.gov.bd,Rangpur,Nilphamari,4/9/2026,,,9,0,0,0,5,4,,,,,,,,,,,
Noakhali Civil Surgeon Office,noakhali@cs.dghs.gov.bd,Chattogram,Noakhali,4/9/2026,,,5,0,0,0,5,3,,,,,,,,,,,
Pabna Civil Surgeon Office,pabna@cs.dghs.gov.bd,Rajshahi,Pabna,4/9/2026,,,19,0,0,0,19,20,,,,,,,,,,,
Panchagarh Civil Surgeon Office,panchagarh@cs.dghs.gov.bd,Rangpur,Panchagarh,4/9/2026,,,4,0,0,0,0,0,,,,,,,,,,,
Patuakhali Civil Surgeon Office,patuakhali@cs.dghs.gov.bd,Barisal,Patuakhali,4/9/2026,,,21,0,0,0,19,14,,,,,,,,,,,
Pirojpur Civil Surgeon Office,pirojpur@cs.dghs.gov.bd,Barisal,Pirojpur,4/9/2026,,,13,0,0,0,5,1,,,,,,,,,,,
Popular Medical College And Hospital Ltd.,pmchcoordinator@yahoo.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Rajbari Civil Surgeon Office,rajbari@cs.dghs.gov.bd,Dhaka,Rajbari,4/9/2026,,,7,0,0,0,1,2,,,,,,,,,,,
Rajshahi Civil Surgeon Office,rajshahi@cs.dghs.gov.bd,Rajshahi,Rajshahi,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Rajshahi Medical College Hospital,rajshahimch@hospi.dghs.gov.bd,Rajshahi,Rajshahi,4/9/2026,,,132,479,4,0,27,24,,,,,,,,,,,
Rangamati Civil Surgeon Office,rangamati@cs.dghs.gov.bd,Chattogram,Rangamati,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Rangpur Civil Surgeon Office,rangpur@cs.dghs.gov.bd,Rangpur,Rangpur,4/9/2026,,,4,0,0,0,0,0,,,,,,,,,,,
Satkhira Civil Surgeon Office,satkhira@cs.dghs.gov.bd,Khulna,Satkhira,4/9/2026,,,5,0,0,0,5,7,,,,,,,,,,,
"Shaheed Monsur Ali Medical College Hospital, Uttara, Dhaka",smamch.1995@gmail.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,1,0,,,,,,,,,,,
Shaheed Suhrawardy Medical College Hospital,ssh@hospi.dghs.gov.bd,Dhaka,Dhaka,4/9/2026,,,42,14,0,0,40,23,,,,,,,,,,,
Shariatpur Civil Surgeon Office,shariatpur@cs.dghs.gov.bd,Dhaka,Shariatpur,4/9/2026,,,9,0,0,0,4,2,,,,,,,,,,,
Sherpur Civil Surgeon Office,sherpur@cs.dghs.gov.bd,Mymensingh,Sherpur,4/9/2026,,,7,0,0,0,3,1,,,,,,,,,,,
"Sir Salimullah Medical College, Mitford Hospital Dhaka",mitford@hospi.dghs.gov.bd,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Sirajganj Civil Surgeon Office,sirajganj@cs.dghs.gov.bd,Rajshahi,Sirajganj,4/9/2026,,,6,6,0,0,6,7,,,,,,,,,,,
Square Hospital Ltd,muktadir@squarehospital.com,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Sunamganj Civil Surgeon Office,sunamganj@cs.dghs.gov.bd,Sylhet,Sunamganj,4/9/2026,,,19,0,1,0,14,15,,,,,,,,,,,
Sylhet Civil Surgeon Office,sylhet@cs.dghs.gov.bd,Sylhet,Sylhet,4/9/2026,,,14,0,0,0,7,11,,,,,,,,,,,
Tangail Civil Surgeon Office,tangail@cs.dghs.gov.bd,Dhaka,Tangail,4/9/2026,,,12,1,0,0,11,16,,,,,,,,,,,
Thakurgaon Civil Surgeon Office,thakurgaon@cs.dghs.gov.bd,Rangpur,Thakurgaon,4/9/2026,,,16,0,0,0,1,0,,,,,,,,,,,
United Medical College Hospital,unknown@umch.com,Dhaka,Dhaka,4/9/2026,,,0,1,0,0,0,0,,,,,,,,,,,
Universal medical college hospital,umcrc2022@gmail.com,Dhaka,Dhaka,4/9/2026,,,1,2,0,0,1,0,,,,,,,,,,,
Uttara Crescent Hospital,shuvo.uch@gmail.com,Dhaka,Dhaka,4/9/2026,,,3,3,0,0,1,1,,,,,,,,,,,
"Zainul Haque Sikder Women's Medical College & Hospital (Pvt.) Ltd. , Gulshan Branch",info@sikderhospital.net,Dhaka,Dhaka,4/9/2026,,,0,0,0,0,0,0,,,,,,,,,,,
AMZ Hospital Ltd.,amzhospitalltd.mis10699@gmail.com,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Anwer Khan Modern Medical College Hospital,akmmchcovid19@gmail.com,Dhaka,Dhaka,4/10/2026,,,0,11,0,0,2,0,,,,,,,,,,,
Asgar Ali Hospital,zahidulhaq@asgaralihospital.com,Dhaka,Dhaka,4/10/2026,,,1,1,0,0,1,0,,,,,,,,,,,
Bagerhat Civil Surgeon Office,bagerhat@cs.dghs.gov.bd,Khulna,Bagerhat,4/10/2026,,,1,0,0,0,1,0,,,,,,,,,,,
Bandarban Civil Surgeon Office,bandarban@cs.dghs.gov.bd,Chattogram,Bandarban,4/10/2026,,,1,0,0,0,0,0,,,,,,,,,,,
Bangladesh medical University,bmu@example.com,Dhaka,Dhaka,4/10/2026,,,4,4,0,0,4,3,,,,,,,,,,,
Bangladesh Shishu Hospital & Institute,epiddsh@gmail.com,Dhaka,Dhaka,4/10/2026,,,16,0,0,0,16,9,,,,,,,,,,,
Barguna Civil Surgeon Office,barguna@cs.dghs.gov.bd,Barisal,Barguna,4/10/2026,,,20,0,0,0,2,6,,,,,,,,,,,
Barisal Civil Surgeon Office,barisal@cs.dghs.gov.bd,Barisal,Barisal,4/10/2026,,,8,1,0,0,4,8,,,,,,,,,,,
Bhola Civil Surgeon Office,bhola@cs.dghs.gov.bd,Barisal,Bhola,4/10/2026,,,0,0,0,0,0,5,,,,,,,,,,,
BIHS General Hospital,mhasemanto@gmail.com,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,,,,,,,,,,,
BIRDEM Women & Children Hospital,birdem-2@dab-bd.org,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Bogura Civil Surgeon Office,bogura@cs.dghs.gov.bd,Rajshahi,Bogura,4/10/2026,,,4,0,0,0,2,2,,,,,,,,,,,
Brahmanbaria Civil Surgeon Office,brahmanbaria@cs.dghs.gov.bd,Chattogram,Brahmanbaria,4/10/2026,,,8,0,0,0,8,3,,,,,,,,,,,
BRB Hospital Ltd,rasel.hr@brbhospital.com,Dhaka,Dhaka,4/10/2026,,,2,2,0,0,2,1,,,,,,,,,,,
Chandpur Civil Surgeon Office,chandpur@cs.dghs.gov.bd,Chattogram,Chandpur,4/10/2026,,,34,0,0,0,13,7,,,,,,,,,,,
chapainawabganj Civil Surgeon Office,chapainawabganj@cs.dghs.gov.bd,Rajshahi,chapainawabganj,4/10/2026,,,14,0,0,0,14,27,,,,,,,,,,,
Chattogram Civil Surgeon Office,chittagong@cs.dghs.gov.bd,Chattogram,Chattogram,4/10/2026,,,19,0,0,0,16,23,,,,,,,,,,,
Chuadanga Civil Surgeon Office,chuadanga@cs.dghs.gov.bd,Khulna,Chuadanga,4/10/2026,,,4,0,0,0,4,3,,,,,,,,,,,
City Hospital Ltd.,cityhosp.bd@gmail.com,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,0,,,,,,,,,,,
Cox's Bazar Civil Surgeon Office,coxsbazar@cs.dghs.gov.bd,Chattogram,Cox's Bazar,4/10/2026,,,38,0,0,0,32,33,,,,,,,,,,,
Cumilla Civil Surgeon Office,cumilla@cs.dghs.gov.bd,Chattogram,Cumilla,4/10/2026,,,50,0,0,0,26,214,,,,,,,,,,,
DELTA HOSPITAL LIMITED,amiruldelta@gmail.com,Dhaka,Dhaka,4/10/2026,,,0,0,0,0,0,1,,,,,,,,,,,
Dhaka Civil Surgeon Office,dhaka@cs.dghs.gov.bd,Dhaka,Dhaka,4/10/2026,,,8,0,0,0,3,4,,,,,,,,,,,
